iter	Passed	Remaining
403404	60227	480404405	60376	478405406	6409	6043406407	6410	6062407408	6411	6070408409	6412	6088409410	6413	6098410411	61241	469411412	61370	468412	6138416	6139413414	6417	6156414415	61801	46351
416	61937	46193
417	62115	46066
418	62263	45917
419	62431	45782
420	62528	45596
421	6424	62566	4422	62839	45309
423	6426	62857	4424	63161	45030
425	63262	44848
426	63410	44699
427	63610	44586
428	63723	44413
429	6432	63720	4430	6433	63879	4431	6434	63996	4432	6435	64167	4433	6436	64331	4434	6437	64483	4435	6438	64572	4436	6439	64650	4437	6440	64787	4438	65068	42835
439	65234	42699
440	65374	42545
441	6444	65358	4442	6445	65559	4443	6446	65687	4444	6447	65862	4445	6448	65982	4446	6449	66088	4447	6450	66184	4448	66446	41288
449	6452	66472	4450	6453	66650	4451	6454	66756	4452	6455	66913	39913
456	67035	3454	6457	67234	39635
458	67330	39459
459	67508	39331
460	67654	39183
461	67827	39052
462	67921	38874
463	68077	38733
464	68202	38574
465	68313	38407
466	68503	38285
467	68656	38142
468	68778	37981
469	68949	37848
470	69107	37708
471	69277	37574
472	69417	37423
473	69595	37293
474	69750	37151
475	69836	36972
476	69987	36827
477	70157	36693
478	70304	36546
479	70448	36398
480	70623	36266
481	70725	36096
482	70866	35946
483	71044	35815
484	71208	35677
485	71294	35500
486	71443	35355
487	71555	35191
488	71728	35057
489	71820	34884
490	71959	34733
491	72088	34578
492	72184	34408
493	72295	34245
494	72453	34104
495	72596	33956
496	72686	33783
497	72823	33633
498	72952	33479
499	73073	33321
500	73253	33190
501	73421	33054
502	73509	32882
503	73660	32738
504	73770	32576
505	73896	32420
506	74064	32284
507	74182	32126
508	74345	31987
509	74497	31843
510	74657	31704
511	74749	31534
512	74891	31387
513	74997	31224
514	75105	31062
515	75259	30920
516	75374	30762
517	75523	30617
518	75654	30465
519	75806	30322
520	75938	30171
521	76108	30035
522	76258	29891
523	76327	29715
524	76506	29582
525	76577	29408
526	76728	29264
527	76838	29105
528	76966	28953
529	77099	28803
530	77213	28646
531	77370	28504
532	77489	28349
533	77614	28196
534	77718	28036
535	77866	27892
536	77933	27719
537	78105	27583
538	78208	27423
539	78314	27264
540	78481	27127
541	78658	26993
542	78794	26845
543	78910	26690
544	78999	26526
545	79089	26363
546	79227	26215
547	79325	26055
548	79509	25924
549	79646	25776
550	79873	25658
551	80036	25518
552	80178	25372
553	80342	25233
554	80427	25070
555	80597	24932
556	80739	24787
557	80860	24634
558	80946	24472
559	81114	24334
560	81251	24187
561	81406	24045
562	81560	23903
563	81715	23761
564	81875	23620
565	82010	23472
566	82101	23312
567	82233	23164
568	82402	23026
569	82548	22881
570	82617	22716
571	82755	22569
572	82867	22416
573	82993	22266
574	83136	22121
575	83249	21968
576	83309	21802
577	83452	21657
578	83520	21493
579	83618	21337
580	83754	21190
581	83834	21030
